Region,LCDM_Name,LDC_Name,Batch_Code,Status,Start_Date,End_Date,Course_Name,Full_Name,DOB
1,Kartik,Punjab,A1,A,30102018,30122018,OS,XXXX_stud_Name,15082000
2,Ramesh,Delhi,A2,P,15102018,15122018,OS,AAAA_stud_Name,26091987
3,Karan,Hyderabad,A3,p,28092018,29082020,ECE,karthik,3062001
4,Shahid,Goa,A4,P,29102018,30092019,EIE,neha,3012000
5,Amit,Delhi,A5,p,29092017,30082018,ECE,sameeksha,9062001
6,Arun,chennai,A7,A,17102016,12082016,CSE,dibya,7082001
7,Arpan,Bangalore,B0,A,12012009,12102011,EIE,ramesh,11072001
8,Sidarth,Dehradun,A0,P,12072008,14082011,CSE,jitin,6072001
9,Ketan,Manali,B1,A,20082019,14092020,CSE,aditya,7082001
10,Santosh,Delhi,B3,P,20092017,14102018,EIE,amar,7112003
11,Smily,Gujrath,B4,P,20102017,14092018,CSE,amulya,2122005
12,Nadima,Haryana,B5,P,15102013,14102014,EIE,anand,9062005
13,Aisha,Kamareddy,B6,A,14092009,1310201,ECE,bharath,13082006
14,Anup,Hyderabad,B7,A,5062010,7082011,CE,harika,6112004
15,Akhil,Kerala,B8,A,9042009,9082011,ECE,sannihitha,12032003
